"part.gender" "part.age.cat" "part.group.cat" "cont.group.cat" "cont.age.cat" "male_interact" "female_interact" "part.inf" "cont.inf"
"2.1.11" 1 5 "adult" "child" 0 0.590096117 0.837972444 2 3
"2.1.12" 1 5 "adult" "child" 0 0.590096117 0.837972444 3 3
"2.1.13" 1 5 "adult" "child" 0 0.590096117 0.837972444 4 3
"2.1.14" 1 5 "adult" "child" 0 0.590096117 0.837972444 5 3
"2.1.15" 1 5 "adult" "child" 0 0.590096117 0.837972444 1 4
"2.1.16" 1 5 "adult" "child" 0 0.590096117 0.837972444 2 4
"2.1.17" 1 5 "adult" "child" 0 0.590096117 0.837972444 3 4
"2.1.18" 1 5 "adult" "child" 0 0.590096117 0.837972444 4 4
"2.1.19" 1 5 "adult" "child" 0 0.590096117 0.837972444 5 4
"2.1.20" 1 5 "adult" "child" 0 0.590096117 0.837972444 1 5
"2.1.21" 1 5 "adult" "child" 0 0.590096117 0.837972444 2 5
"2.1.22" 1 5 "adult" "child" 0 0.590096117 0.837972444 3 5
"2.1.23" 1 5 "adult" "child" 0 0.590096117 0.837972444 4 5
"2.1.24" 1 5 "adult" "child" 0 0.590096117 0.837972444 5 5
"3" 0 10 "adult" "child" 0 0.307046601 0.199019658 1 1
"3.2" 0 10 "adult" "child" 0 0.307046601 0.199019658 2 1
"3.3" 0 10 "adult" "child" 0 0.307046601 0.199019658 3 1
"3.4" 0 10 "adult" "child" 0 0.307046601 0.199019658 4 1
"3.5" 0 10 "adult" "child" 0 0.307046601 0.199019658 5 1
"3.6" 0 10 "adult" "child" 0 0.307046601 0.199019658 1 2
"3.7" 0 10 "adult" "child" 0 0.307046601 0.199019658 2 2
"3.8" 0 10 "adult" "child" 0 0.307046601 0.199019658 3 2
"3.9" 0 10 "adult" "child" 0 0.307046601 0.199019658 4 2
"3.10" 0 10 "adult" "child" 0 0.307046601 0.199019658 5 2
"3.11" 0 10 "adult" "child" 0 0.307046601 0.199019658 1 3
"3.12" 0 10 "adult" "child" 0 0.307046601 0.199019658 2 3
"3.13" 0 10 "adult" "child" 0 0.307046601 0.199019658 3 3
"3.14" 0 10 "adult" "child" 0 0.307046601 0.199019658 4 3
"3.15" 0 10 "adult" "child" 0 0.307046601 0.199019658 5 3
"3.16" 0 10 "adult" "child" 0 0.307046601 0.199019658 1 4
"3.17" 0 10 "adult" "child" 0 0.307046601 0.199019658 2 4
"3.18" 0 10 "adult" "child" 0 0.307046601 0.199019658 3 4
"3.19" 0 10 "adult" "child" 0 0.307046601 0.199019658 4 4
"3.20" 0 10 "adult" "child" 0 0.307046601 0.199019658 5 4
"3.21" 0 10 "adult" "child" 0 0.307046601 0.199019658 1 5
"3.22" 0 10 "adult" "child" 0 0.307046601 0.199019658 2 5
"3.23" 0 10 "adult" "child" 0 0.307046601 0.199019658 3 5
"3.24" 0 10 "adult" "child" 0 0.307046601 0.199019658 4 5
"3.25" 0 10 "adult" "child" 0 0.307046601 0.199019658 5 5
"3.1" 1 10 "adult" "child" 0 0.233815812 0.270568749 1 1
"3.1.1" 1 10 "adult" "child" 0 0.233815812 0.270568749 2 1
"3.1.2" 1 10 "adult" "child" 0 0.233815812 0.270568749 3 1
"3.1.3" 1 10 "adult" "child" 0 0.233815812 0.270568749 4 1
"3.1.4" 1 10 "adult" "child" 0 0.233815812 0.270568749 5 1
"3.1.5" 1 10 "adult" "child" 0 0.233815812 0.270568749 1 2
"3.1.6" 1 10 "adult" "child" 0 0.233815812 0.270568749 2 2
"3.1.7" 1 10 "adult" "child" 0 0.233815812 0.270568749 3 2
"3.1.8" 1 10 "adult" "child" 0 0.233815812 0.270568749 4 2
"3.1.9" 1 10 "adult" "child" 0 0.233815812 0.270568749 5 2
"3.1.10" 1 10 "adult" "child" 0 0.233815812 0.270568749 1 3
"3.1.11" 1 10 "adult" "child" 0 0.233815812 0.270568749 2 3
"3.1.12" 1 10 "adult" "child" 0 0.233815812 0.270568749 3 3
"3.1.13" 1 10 "adult" "child" 0 0.233815812 0.270568749 4 3
"3.1.14" 1 10 "adult" "child" 0 0.233815812 0.270568749 5 3
"3.1.15" 1 10 "adult" "child" 0 0.233815812 0.270568749 1 4
"3.1.16" 1 10 "adult" "child" 0 0.233815812 0.270568749 2 4
"3.1.17" 1 10 "adult" "child" 0 0.233815812 0.270568749 3 4
"3.1.18" 1 10 "adult" "child" 0 0.233815812 0.270568749 4 4
"3.1.19" 1 10 "adult" "child" 0 0.233815812 0.270568749 5 4
"3.1.20" 1 10 "adult" "child" 0 0.233815812 0.270568749 1 5
"3.1.21" 1 10 "adult" "child" 0 0.233815812 0.270568749 2 5
"3.1.22" 1 10 "adult" "child" 0 0.233815812 0.270568749 3 5
"3.1.23" 1 10 "adult" "child" 0 0.233815812 0.270568749 4 5
"3.1.24" 1 10 "adult" "child" 0 0.233815812 0.270568749 5 5
"4" 0 15 "adult" "child" 0 0.222633621 0.150316379 1 1
"4.2" 0 15 "adult" "child" 0 0.222633621 0.150316379 2 1
"4.3" 0 15 "adult" "child" 0 0.222633621 0.150316379 3 1
"4.4" 0 15 "adult" "child" 0 0.222633621 0.150316379 4 1
"4.5" 0 15 "adult" "child" 0 0.222633621 0.150316379 5 1
"4.6" 0 15 "adult" "child" 0 0.222633621 0.150316379 1 2
"4.7" 0 15 "adult" "child" 0 0.222633621 0.150316379 2 2
"4.8" 0 15 "adult" "child" 0 0.222633621 0.150316379 3 2
"4.9" 0 15 "adult" "child" 0 0.222633621 0.150316379 4 2
"4.10" 0 15 "adult" "child" 0 0.222633621 0.150316379 5 2
"4.11" 0 15 "adult" "child" 0 0.222633621 0.150316379 1 3
"4.12" 0 15 "adult" "child" 0 0.222633621 0.150316379 2 3
"4.13" 0 15 "adult" "child" 0 0.222633621 0.150316379 3 3
"4.14" 0 15 "adult" "child" 0 0.222633621 0.150316379 4 3
"4.15" 0 15 "adult" "child" 0 0.222633621 0.150316379 5 3
"4.16" 0 15 "adult" "child" 0 0.222633621 0.150316379 1 4
"4.17" 0 15 "adult" "child" 0 0.222633621 0.150316379 2 4
"4.18" 0 15 "adult" "child" 0 0.222633621 0.150316379 3 4
"4.19" 0 15 "adult" "child" 0 0.222633621 0.150316379 4 4
"4.20" 0 15 "adult" "child" 0 0.222633621 0.150316379 5 4
"4.21" 0 15 "adult" "child" 0 0.222633621 0.150316379 1 5
"4.22" 0 15 "adult" "child" 0 0.222633621 0.150316379 2 5
"4.23" 0 15 "adult" "child" 0 0.222633621 0.150316379 3 5
